name,frequency
HAFSA,1222
SOL,1219
SABAH,1218
IRAIDE,1216
CARMEN TERESA,1214
JOANA MARIA,1212
ENMA,1211
KIARA,1208
ALEGRIA,1207
MARIOARA,1206
REMEI,1202
CELEDONIA,1201
FADOUA,1200
JUANITA,1200
MARIA FLORENTINA,1200
JACOBA,1199
MIREN NEKANE,1199
NEMESIA,1197
MARIA CASTILLO,1193
LEONARDA,1191
ELIZABET,1190
MARIA ARGENTINA,1190
ASMA,1189
MARIA ELSA,1188
MARIA CAMILA,1187
MARIA ADELAIDA,1184
MARITZA,1182
MARY,1181
FLAVIA,1180
JUANA ROSA,1179
MARIA NATALIA,1177
FUENCISLA,1175
GIOVANNA,1175
ANA VANESSA,1174
CARMEN NIEVES,1174
LEONIDES,1171
MARGARET,1170
JORDINA,1169
ROSA CARMEN,1165
ITSASO,1162
AMOR,1161
LILIA,1159
NADIYA,1154
DOSINDA,1151
ANTOLINA,1149
PEREGRINA,1149
YULIYA,1148
DOINA,1147
BASMA,1145
HASNA,1144
EVARISTA,1143
MARIA HERMINIA,1143
MARIANELA,1140
FATMA,1138
MARIA IZASKUN,1137
STEPHANIE,1136
MARIA DESIREE,1128
NADINE,1128
NATHALIE,1127
CASANDRA,1125
KAWTAR,1123
REGLA,1122
NOUR,1121
ARES,1117
MARIA SEÑOR,1116
OUMAIMA,1116
ANGELES MARIA,1112
ANISOARA,1110
MARIA FUENCISLA,1108
HIPOLITA,1106
ELENE,1104
MARIEM,1103
MANAR,1098
MARIA ASSUMPCIO,1098
ELIDA,1095
FULGENCIA,1095
MARIA ESTIBALIZ,1092
MARIA JUNCAL,1091
ANIA,1090
CLARA EUGENIA,1086
LAURA ISABEL,1085
GIULIA,1083
PEPITA,1081
YADIRA,1081
AUXILIADORA,1080
LILIAN,1080
NIEVES MARIA,1080
FATIMA MARIA,1079
MARIA ELIZABETH,1078
ISABELA,1076
MARTHA LUCIA,1075
WIAM,1073
GEORGIANA,1072
HELEN,1071
SAFAE,1069
STELLA,1069
AGURTZANE,1068
MAGALI,1064
ARIADNE,1060
MARIA AGUILA,1059
COLOMA,1058
PRAXEDES,1058
MIREN KARMELE,1055
DORIS,1054
AHLAM,1053
JOAQUIMA,1051
MARIA ESTEFANIA,1051
GABINA,1049
YUMARA,1049
LAUDELINA,1046
LUDIVINA,1046
MILAGRO,1046
DALILA,1045
ESTRELLA MARIA,1045
CRISTINA ISABEL,1044
JUNCAL,1044
MARIA ADELINA,1044
CINTHIA,1043
HIGINIA,1042
JESSICA MARIA,1041
EDITA,1039
DULCE NOMBRE,1034
VIRGINIA MARIA,1028
MONTSE,1026
VANESA MARIA,1026
ANA SOFIA,1025
NURIA ESTHER,1023
YVONNE,1022
SALIHA,1020
JANIRA,1018
CARMEN ISABEL,1017
MELODY,1017
MARIA NELIDA,1015
MARIA REGINA,1015
EVELIN,1013
ESCOLASTICA,1011
YESENIA,1011
FATOU,1009
NAZIHA,1009
MARIA BERTA,1004
FELICISIMA,1002
LYUBOV,1000
MARIAMA,1000
ARMINDA,996
MARIA AURELIA,996
MAYTE,995
PROVIDENCIA,994
QUITERIA,994
INNA,991
HELGA,985
LAURENTINA,983
PAQUITA,982
LEA,975
NAZARETH,975
TRANSITO,974
VICENTA MARIA,974
LARA MARIA,973
OXANA,973
ALICE,972
JOSEFA ANTONIA,972
LENA,972
EMILY,971
ALLA,970
AMINATA,968
FANNY,968
ALEXANDRA MARIA,966
HONORINA,964
MABEL,964
MARIA ANTONIETA,964
TALIA,964
AURA,963
MARIA BENITA,961
CARMEN ELENA,960
JOHANA,960
DIANA MARCELA,959
DOLORES CARMEN,958
GUIOMAR,958
